dataset,variant,variant_label,bin,bin_left,bin_right,n,mean_confidence,empirical_precision,gap
vsb_rarefirst,p2_illumination,P2 illumination,7,0.7,0.8,852,0.7497534548312845,0.903755868544601,-0.15400241371331647
vsb_rarefirst,p2_illumination,P2 illumination,8,0.8,0.9,650,0.8421002202767592,0.9507692307692308,-0.10866901049247157
vsb_rarefirst,p2_illumination,P2 illumination,9,0.9,1.0,61,0.9132527581980971,0.9836065573770492,-0.07035379917895201
vsb_rarefirst,p3_unsharp,P3 unsharp,0,0.0,0.1,16788,0.011891055578195168,0.019656897784131523,-0.007765842205936355
vsb_rarefirst,p3_unsharp,P3 unsharp,1,0.1,0.2,971,0.14377427507809581,0.14727085478887744,-0.0034965797107816277
vsb_rarefirst,p3_unsharp,P3 unsharp,2,0.2,0.3,542,0.2462408004046806,0.20848708487084872,0.03775371553383189
vsb_rarefirst,p3_unsharp,P3 unsharp,3,0.3,0.4,456,0.3474462653199832,0.32456140350877194,0.022884861811211243
vsb_rarefirst,p3_unsharp,P3 unsharp,4,0.4,0.5,477,0.45034105279160747,0.5052410901467506,-0.054900037355143094
vsb_rarefirst,p3_unsharp,P3 unsharp,5,0.5,0.6,500,0.5505027207136154,0.656,-0.10549727928638464
vsb_rarefirst,p3_unsharp,P3 unsharp,6,0.6,0.7,672,0.6500885072385981,0.7797619047619048,-0.12967339752330664
vsb_rarefirst,p3_unsharp,P3 unsharp,7,0.7,0.8,780,0.7518559793631235,0.8974358974358975,-0.14557991807277393
vsb_rarefirst,p3_unsharp,P3 unsharp,8,0.8,0.9,757,0.8406000330237133,0.9379128137384413,-0.09731278071472793
vsb_rarefirst,p3_unsharp,P3 unsharp,9,0.9,1.0,74,0.9174812532760002,0.9864864864864865,-0.06900523321048635
vsb_rarefirst,a1_crop,A1 crop,0,0.0,0.1,27390,0.01086041853702724,0.01077035414384812,9.006439317912028e-05
vsb_rarefirst,a1_crop,A1 crop,1,0.1,0.2,1318,0.14247323710567492,0.09711684370257967,0.045356393403095246
vsb_rarefirst,a1_crop,A1 crop,2,0.2,0.3,724,0.24632001233940626,0.1781767955801105,0.06814321675929577
vsb_rarefirst,a1_crop,A1 crop,3,0.3,0.4,540,0.350745131848035,0.29814814814814816,0.05259698369988686
vsb_rarefirst,a1_crop,A1 crop,4,0.4,0.5,540,0.4499316961676986,0.4537037037037037,-0.0037720075360050953
vsb_rarefirst,a1_crop,A1 crop,5,0.5,0.6,584,0.5517641524337742,0.5924657534246576,-0.04070160099088338
vsb_rarefirst,a1_crop,A1 crop,6,0.6,0.7,711,0.650177276922513,0.7946554149085795,-0.14447813798606646
vsb_rarefirst,a1_crop,A1 crop,7,0.7,0.8,855,0.7516811443351166,0.8713450292397661,-0.11966388490464952
vsb_rarefirst,a1_crop,A1 crop,8,0.8,0.9,719,0.842199338576724,0.9346314325452016,-0.09243209396847762
vsb_rarefirst,a1_crop,A1 crop,9,0.9,1.0,50,0.9184684824943542,1.0,-0.0815315175056458
vsb_rarefirst,a2_colorjitter,A2 colour jitter,0,0.0,0.1,20153,0.0117881300781389,0.017267900560710564,-0.005479770482571663
vsb_rarefirst,a2_colorjitter,A2 colour jitter,1,0.1,0.2,1093,0.14208567292452512,0.1262580054894785,0.015827667435046627
vsb_rarefirst,a2_colorjitter,A2 colour jitter,2,0.2,0.3,661,0.24558423664674456,0.21482602118003025,0.03075821546671431
vsb_rarefirst,a2_colorjitter,A2 colour jitter,3,0.3,0.4,501,0.3516025114321185,0.38323353293413176,-0.031631021502013246
vsb_rarefirst,a2_colorjitter,A2 colour jitter,4,0.4,0.5,480,0.4505794852351149,0.4708333333333333,-0.020253848098218452
vsb_rarefirst,a2_colorjitter,A2 colour jitter,5,0.5,0.6,589,0.5517337206871279,0.6587436332767402,-0.10700991258961234
vsb_rarefirst,a2_colorjitter,A2 colour jitter,6,0.6,0.7,637,0.6516267544059214,0.7676609105180534,-0.11603415611213197
vsb_rarefirst,a2_colorjitter,A2 colour jitter,7,0.7,0.8,834,0.749315993105479,0.8992805755395683,-0.14996458243408928
vsb_rarefirst,a2_colorjitter,A2 colour jitter,8,0.8,0.9,658,0.8423629404020164,0.939209726443769,-0.09684678604175256
vsb_rarefirst,a2_colorjitter,A2 colour jitter,9,0.9,1.0,47,0.9135795248315689,0.9787234042553191,-0.06514387942375022
vsb_rarefirst,p4_a4_combined,P4+A4 combined,0,0.0,0.1,30633,0.010338596137750776,0.010087160904906474,0.00025143523284430237
vsb_rarefirst,p4_a4_combined,P4+A4 combined,1,0.1,0.2,1327,0.14304751596822718,0.11303692539562923,0.030010590572597945
vsb_rarefirst,p4_a4_combined,P4+A4 combined,2,0.2,0.3,744,0.2488598877223589,0.17204301075268819,0.07681687696967071
vsb_rarefirst,p4_a4_combined,P4+A4 combined,3,0.3,0.4,568,0.3499205712701233,0.301056338028169,0.048864233241954325
vsb_rarefirst,p4_a4_combined,P4+A4 combined,4,0.4,0.5,542,0.4518780402591748,0.4077490774907749,0.04412896276839989
vsb_rarefirst,p4_a4_combined,P4+A4 combined,5,0.5,0.6,652,0.5514494474131637,0.5552147239263804,-0.0037652765132166754
vsb_rarefirst,p4_a4_combined,P4+A4 combined,6,0.6,0.7,758,0.6514211120894843,0.7295514511873351,-0.07813033909785083
vsb_rarefirst,p4_a4_combined,P4+A4 combined,7,0.7,0.8,906,0.7510138022452264,0.8841059602649006,-0.13309215801967422
vsb_rarefirst,p4_a4_combined,P4+A4 combined,8,0.8,0.9,628,0.8410328375116275,0.9410828025477707,-0.10004996503614316
vsb_rarefirst,p4_a4_combined,P4+A4 combined,9,0.9,1.0,56,0.9135904450501714,0.9821428571428571,-0.0685524120926857
