dataset,variant,seed,epsilon,selected_threshold,validation_fp_rate,test_n_clean,test_fp_images,test_fp_rate,test_false_detections,test_fppi,n_retained,n_targets,tp50,fp50,fn50,precision,recall,mAP50
vnwoodknot,p3_unsharp,43,0.02,0.05,0.0,75,0,0.0,0,0.0,322,155,147,175,8,0.45652173913043476,0.9483870967741935,0.8549015034395475
vnwoodknot,p3_unsharp,44,0.02,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,355,155,145,210,10,0.4084507042253521,0.9354838709677419,0.7983964960443718
vnwoodknot,p3_unsharp,42,0.05,0.05,0.0,75,2,0.02666666666666667,2,0.02666666666666667,361,155,145,216,10,0.40166204986149584,0.9354838709677419,0.8053329253981019
vnwoodknot,p3_unsharp,43,0.05,0.05,0.0,75,0,0.0,0,0.0,322,155,147,175,8,0.45652173913043476,0.9483870967741935,0.8549015034395475
vnwoodknot,p3_unsharp,44,0.05,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,355,155,145,210,10,0.4084507042253521,0.9354838709677419,0.7983964960443718
vnwoodknot,a1_crop,42,0.0,0.25,0.0,75,0,0.0,0,0.0,198,155,130,68,25,0.6565656565656566,0.8387096774193549,0.7628298559063997
vnwoodknot,a1_crop,43,0.0,0.25,0.0,75,0,0.0,0,0.0,198,155,133,65,22,0.6717171717171717,0.8580645161290322,0.7812114943328694
vnwoodknot,a1_crop,44,0.0,0.25,0.0,75,1,0.013333333333333334,1,0.013333333333333334,198,155,130,68,25,0.6565656565656566,0.8387096774193549,0.7581634214421005
vnwoodknot,a1_crop,42,0.01,0.1,0.013333333333333334,75,0,0.0,0,0.0,245,155,136,109,19,0.5551020408163265,0.8774193548387097,0.7903882066834871
vnwoodknot,a1_crop,43,0.01,0.1,0.0,75,0,0.0,0,0.0,244,155,136,108,19,0.5573770491803278,0.8774193548387097,0.7952711969945765
vnwoodknot,a1_crop,44,0.01,0.1,0.013333333333333334,75,1,0.013333333333333334,2,0.02666666666666667,259,155,135,124,20,0.5212355212355212,0.8709677419354839,0.7819772840380379
vnwoodknot,a1_crop,42,0.02,0.1,0.013333333333333334,75,0,0.0,0,0.0,245,155,136,109,19,0.5551020408163265,0.8774193548387097,0.7903882066834871
vnwoodknot,a1_crop,43,0.02,0.1,0.0,75,0,0.0,0,0.0,244,155,136,108,19,0.5573770491803278,0.8774193548387097,0.7952711969945765
vnwoodknot,a1_crop,44,0.02,0.1,0.013333333333333334,75,1,0.013333333333333334,2,0.02666666666666667,259,155,135,124,20,0.5212355212355212,0.8709677419354839,0.7819772840380379
vnwoodknot,a1_crop,42,0.05,0.05,0.02666666666666667,75,0,0.0,0,0.0,274,155,137,137,18,0.5,0.8838709677419355,0.7931848168529787
vnwoodknot,a1_crop,43,0.05,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,284,155,139,145,16,0.4894366197183099,0.896774193548387,0.806431084792613
vnwoodknot,a1_crop,44,0.05,0.05,0.04,75,2,0.02666666666666667,3,0.04,318,155,137,181,18,0.4308176100628931,0.8838709677419355,0.787599981164051
