dataset,variant,epsilon,selected_threshold,validation_fp_rate_mean,test_fp_rate_mean,test_fp_rate_std,test_fppi_mean,test_fppi_std,precision_mean,precision_std,recall_mean,recall_std,mAP50_mean,mAP50_std
vnwoodknot,p4_a4_combined,0.05,0.05,0.008888888888888889,0.0044444444444444444,0.0076980035891950115,0.0044444444444444444,0.0076980035891950115,0.4731363847140622,0.009932371880606987,0.9204301075268817,0.009855001494528714,0.8407470844952626,0.025030813188038275
vsb_rarefirst,a1_crop,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9427205210384729,0.01463124069503404,0.20517192384200056,0.0783865718322604,0.23466791093884637,0.08267865135202258
vsb_rarefirst,a1_crop,0.01,0.65,0.005912539045069165,0.009370816599732263,0.004930026727796599,0.009593931280678269,0.005144958749486928,0.8853858453327929,0.022416228871347678,0.49673202614379086,0.07581313766384824,0.5416227224283638,0.053798663860185315
vsb_rarefirst,a1_crop,0.02,0.6,0.012382864792503348,0.018741633199464522,0.009854372064481564,0.019410977242302542,0.010434041009451068,0.8672267904904895,0.018232378413211063,0.5774367718101733,0.06336963848714453,0.6059323298308316,0.040426801900655764
vsb_rarefirst,a1_crop,0.05,0.4,0.04752342704149933,0.05879071842927265,0.012984814392638523,0.06749219098616689,0.016754783558550645,0.750066051876397,0.016628297043332997,0.7450980392156863,0.012383494498153418,0.7185300983839126,0.004957948026714877
vsb_rarefirst,a2_colorjitter,0.0,0.8,0.0,0.00022311468094600624,0.0003864459633130025,0.00022311468094600624,0.0003864459633130025,0.9455205129797841,0.02354439849052753,0.18868996874111965,0.043120178759572386,0.2163680939033028,0.047519895579562765
vsb_rarefirst,a2_colorjitter,0.01,0.6,0.006024096385542169,0.012048192771084338,0.002974629992408162,0.012382864792503346,0.0032274600940404795,0.8733055611155164,0.010151652141243932,0.5407786302926968,0.05816084793480512,0.5759310704282283,0.042174323439605796
vsb_rarefirst,a2_colorjitter,0.02,0.45,0.019857206604194554,0.02967425256581883,0.009056779783487191,0.03235162873717091,0.009935494903262973,0.7999990098457272,0.009676066924803578,0.6871270247229326,0.031427636131571624,0.6810348862300639,0.013795552441042542
vsb_rarefirst,a2_colorjitter,0.05,0.3,0.04317269076305221,0.05243195002231147,0.003515384037614623,0.06302989736724676,0.004303280125387305,0.7178275002256467,0.01644307996763287,0.7695368002273373,0.0130502557581188,0.7322205283456867,0.005957406617781656
vsb_rarefirst,baseline,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.9525221155655939,0.010256351369269397,0.09121909633418585,0.0022555424646756965,0.09333224144829766,0.004323799359458064
vsb_rarefirst,baseline,0.01,0.55,0.009370816599732263,0.018853190539937528,0.0036097031877205346,0.019745649263721552,0.003494078483571134,0.8566943558575814,0.004271487862919887,0.6197783461210571,0.015556937417642518,0.6379202217870985,0.010813296438698168
vsb_rarefirst,baseline,0.02,0.5,0.013833110218652387,0.024431057563587683,0.003945724940612984,0.025435073627844713,0.003945724940612985,0.8414796619586661,0.004591183346660513,0.6649616368286445,0.009221358760777456,0.6707571582492692,0.009008352106309774
vsb_rarefirst,baseline,0.05,0.3,0.04373047746541722,0.048973672467648374,0.008034452289170388,0.05979473449352967,0.011071187879440515,0.7290214467453183,0.006738340419671409,0.7706734867860188,0.008981802005842048,0.7371439636547145,0.008788831641489227
vsb_rarefirst,p1_clahe,0.0,0.8,0.0,0.00011155734047300312,0.00019322298165650126,0.00011155734047300312,0.00019322298165650126,0.9328332186938745,0.005634781655262792,0.21256038647342995,0.016316995987445973,0.24544563288471474,0.0249996373303887
vsb_rarefirst,p1_clahe,0.01,0.6,0.008255243195002232,0.012382864792503346,0.0014588015205959416,0.013163766175814369,0.0018432297681680392,0.8657631520240718,0.0056571596098032905,0.5862460926399545,0.01452614710898785,0.605151869152043,0.010197190047927861
vsb_rarefirst,p1_clahe,0.02,0.5,0.018630075858991523,0.024096385542168672,0.0027394085581902445,0.02610441767068273,0.003681392235609102,0.8237480095937024,0.014146786153196889,0.6729184427394146,0.011126326769225288,0.6661754710547542,0.014984778140662963
vsb_rarefirst,p1_clahe,0.05,0.3,0.044511378848728245,0.05544399821508255,0.00487672757572387,0.06715751896474788,0.00670458688144432,0.7169724818392508,0.013529237050395564,0.7644217107132708,0.00792120481089309,0.7277039543229589,0.01240900696373839
vsb_rarefirst,p2_illumination,0.0,0.75,0.0,0.0014502454261490405,0.0009661149082825062,0.0014502454261490405,0.0009661149082825062,0.9421449100261775,0.007044708138254277,0.302358624609264,0.03878084025969193,0.34024692051394306,0.04825015366016938
vsb_rarefirst,p2_illumination,0.01,0.6,0.006135653726015171,0.012940651494868362,0.0033689578024412086,0.013609995537706381,0.0036864595363360797,0.8843666441624451,0.009367738458048901,0.5680591077010515,0.019999304700099925,0.5996542847944007,0.02188300157171867
vsb_rarefirst,p2_illumination,0.02,0.5,0.01706827309236948,0.026662204373047747,0.0022780653566111257,0.0285586791610888,0.0030367375253940653,0.8320149054500594,0.012625685380424533,0.6632566069906224,0.009377664109121941,0.6699131682127026,0.013021739014758007
vsb_rarefirst,p2_illumination,0.05,0.3,0.04618473895582329,0.054551539491298526,0.004016064257028114,0.06548415885765284,0.005023797523069036,0.7222205180811315,0.007851661405973091,0.7755044046604149,0.002993934001947386,0.7414536826637208,0.0025305486405677383
