dataset,variant,seed,threshold,class_id,class_name,rank,confidence,cumulative_tp,cumulative_fp,precision,recall,n_targets_class
vnwoodknot,baseline,42,0.1,0,live_knot,89,0.3324149250984192,60,29,0.6741573033707865,0.759493670886076,79
vnwoodknot,baseline,42,0.1,0,live_knot,90,0.3312222957611084,60,30,0.6666666666666666,0.759493670886076,79
vnwoodknot,baseline,42,0.1,0,live_knot,91,0.3300909698009491,60,31,0.6593406593406593,0.759493670886076,79
vnwoodknot,baseline,42,0.1,0,live_knot,92,0.3284618854522705,60,32,0.6521739130434783,0.759493670886076,79
vnwoodknot,baseline,42,0.1,0,live_knot,93,0.32814541459083557,60,33,0.6451612903225806,0.759493670886076,79
vnwoodknot,baseline,42,0.1,0,live_knot,94,0.3265446424484253,60,34,0.6382978723404256,0.759493670886076,79
vnwoodknot,baseline,42,0.1,0,live_knot,95,0.3197513520717621,60,35,0.631578947368421,0.759493670886076,79
vnwoodknot,baseline,42,0.1,0,live_knot,96,0.31818684935569763,61,35,0.6354166666666666,0.7721518987341772,79
vnwoodknot,baseline,42,0.1,0,live_knot,97,0.3180871307849884,61,36,0.6288659793814433,0.7721518987341772,79
vnwoodknot,baseline,42,0.1,0,live_knot,98,0.317719042301178,61,37,0.6224489795918368,0.7721518987341772,79
vnwoodknot,baseline,42,0.1,0,live_knot,99,0.3127749264240265,61,38,0.6161616161616161,0.7721518987341772,79
vnwoodknot,baseline,42,0.1,0,live_knot,100,0.3086390793323517,62,38,0.62,0.7848101265822784,79
vnwoodknot,baseline,42,0.1,0,live_knot,101,0.3040635585784912,63,38,0.6237623762376238,0.7974683544303798,79
vnwoodknot,baseline,42,0.1,0,live_knot,102,0.3025871515274048,63,39,0.6176470588235294,0.7974683544303798,79
vnwoodknot,baseline,42,0.1,0,live_knot,103,0.2961518466472626,63,40,0.6116504854368932,0.7974683544303798,79
vnwoodknot,baseline,42,0.1,0,live_knot,104,0.28742724657058716,64,40,0.6153846153846154,0.810126582278481,79
vnwoodknot,baseline,42,0.1,0,live_knot,105,0.2853393852710724,64,41,0.6095238095238096,0.810126582278481,79
vnwoodknot,baseline,42,0.1,0,live_knot,106,0.2832360565662384,64,42,0.6037735849056604,0.810126582278481,79
