variant,variant_label,threshold,n_seeds,seeds,ap50_mean,ap50_std,precision_mean,precision_std,recall_mean,recall_std,fp_image_rate_mean,fp_image_rate_std,mean_preds_per_knotfree_mean,mean_preds_per_knotfree_std,mean_conf_fp_mean,mean_conf_fp_std,fp_image_rate_ci_lower,fp_image_rate_ci_upper,num_knotfree_images_mean,knotfree_fp_images_mean
a1_crop,A1 crop,0.05,3,42 43 44,0.772806,0.001680,0.414625,0.002658,0.858198,0.002994,0.173305,0.012511,0.393016,0.032098,0.195521,0.015166,0.155790,0.194444,5976.000000,1035.666667
a1_crop,A1 crop,0.10,3,42 43 44,0.767905,0.001027,0.511181,0.002297,0.845411,0.003446,0.135821,0.011804,0.237784,0.024884,0.277439,0.019893,0.120147,0.155622,5976.000000,811.666667
a1_crop,A1 crop,0.15,3,42 43 44,0.760910,0.003851,0.570677,0.008281,0.830634,0.005677,0.112673,0.011107,0.171687,0.025493,0.337518,0.018297,0.098226,0.131359,5976.000000,673.333333
a1_crop,A1 crop,0.20,3,42 43 44,0.750504,0.002157,0.615948,0.006934,0.808753,0.005676,0.096218,0.011899,0.133423,0.024387,0.384813,0.016392,0.081493,0.115462,5976.000000,575.000000
a1_crop,A1 crop,0.25,3,42 43 44,0.743255,0.004331,0.653240,0.009683,0.792839,0.008859,0.081939,0.011701,0.105645,0.021716,0.427363,0.016606,0.068106,0.100736,5976.000000,489.666667
a1_crop,A1 crop,0.30,3,42 43 44,0.735735,0.004914,0.685838,0.011747,0.777209,0.009195,0.069054,0.012592,0.084895,0.019701,0.465300,0.015784,0.055890,0.088688,5976.000000,412.666667
a1_crop,A1 crop,0.35,3,42 43 44,0.723332,0.007454,0.718179,0.013182,0.759307,0.010591,0.057006,0.012422,0.068273,0.018321,0.500025,0.014278,0.044511,0.076138,5976.000000,340.666667
a1_crop,A1 crop,0.40,3,42 43 44,0.710384,0.007880,0.749151,0.014356,0.737710,0.014576,0.047524,0.013370,0.055444,0.018104,0.530513,0.008812,0.032631,0.066767,5976.000000,284.000000
a1_crop,A1 crop,0.45,3,42 43 44,0.690383,0.008437,0.777432,0.013244,0.706451,0.012911,0.037595,0.010372,0.042559,0.013578,0.562118,0.010732,0.026606,0.053380,5976.000000,224.666667
a1_crop,A1 crop,0.50,3,42 43 44,0.663431,0.010495,0.806609,0.013382,0.666951,0.016273,0.028670,0.010413,0.031961,0.013081,0.592587,0.005747,0.019076,0.044344,5976.000000,171.333333
a1_crop,A1 crop,0.55,3,42 43 44,0.632975,0.012604,0.834068,0.006425,0.619778,0.019271,0.020359,0.009044,0.021698,0.010088,0.626094,0.002904,0.011379,0.033802,5976.000000,121.666667
a1_crop,A1 crop,0.60,3,42 43 44,0.595952,0.008292,0.859462,0.001155,0.566638,0.016317,0.012550,0.006041,0.012941,0.006578,0.663304,0.003082,0.006359,0.021921,5976.000000,75.000000
a1_crop,A1 crop,0.65,3,42 43 44,0.534994,0.009732,0.877244,0.004692,0.491901,0.018344,0.007028,0.003135,0.007140,0.003323,0.694098,0.006449,0.003347,0.012550,5976.000000,42.000000
a1_crop,A1 crop,0.70,3,42 43 44,0.459607,0.018290,0.896382,0.002644,0.413186,0.017142,0.002677,0.001171,0.002677,0.001171,0.735530,0.002952,0.001004,0.005187,5976.000000,16.000000
a1_crop,A1 crop,0.75,3,42 43 44,0.360398,0.017926,0.917042,0.005496,0.321114,0.017478,0.000669,0.000442,0.000669,0.000442,0.774488,0.004644,0.000000,0.001841,5976.000000,4.000000
a1_crop,A1 crop,0.80,3,42 43 44,0.220995,0.012949,0.940311,0.009248,0.201194,0.011181,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
a1_crop,A1 crop,0.85,3,42 43 44,0.086447,0.007380,0.958664,0.012223,0.084683,0.005414,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
a1_crop,A1 crop,0.90,3,42 43 44,0.009162,0.003735,1.000000,0.000000,0.010514,0.003844,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
a1_crop,A1 crop,0.95,3,42 43 44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
a2_colorjitter,A2 colour jitter,0.05,3,42 43 44,0.766850,0.001666,0.450183,0.006491,0.856209,0.005209,0.131861,0.003647,0.287148,0.007974,0.190976,0.005715,0.121319,0.141901,5976.000000,788.000000
a2_colorjitter,A2 colour jitter,0.10,3,42 43 44,0.757768,0.003100,0.535288,0.007299,0.835180,0.008582,0.100401,0.002476,0.172412,0.009965,0.271360,0.002345,0.092035,0.109270,5976.000000,600.000000
a2_colorjitter,A2 colour jitter,0.15,3,42 43 44,0.749129,0.002802,0.596098,0.003895,0.816993,0.007350,0.082720,0.004031,0.122044,0.007973,0.332721,0.003540,0.074130,0.092704,5976.000000,494.333333
a2_colorjitter,A2 colour jitter,0.20,3,42 43 44,0.739946,0.005092,0.641305,0.002726,0.800227,0.007150,0.069110,0.003900,0.093429,0.006355,0.381745,0.008681,0.060910,0.078481,5976.000000,413.000000
a2_colorjitter,A2 colour jitter,0.25,3,42 43 44,0.731654,0.003562,0.678796,0.004430,0.784882,0.005209,0.057954,0.002132,0.072903,0.003925,0.426005,0.007856,0.051372,0.064926,5976.000000,346.333333
a2_colorjitter,A2 colour jitter,0.30,3,42 43 44,0.720512,0.001688,0.708013,0.005016,0.766127,0.001775,0.048528,0.001263,0.058791,0.002871,0.462175,0.008903,0.042838,0.054384,5976.000000,290.000000
a2_colorjitter,A2 colour jitter,0.35,3,42 43 44,0.708550,0.002498,0.737157,0.005055,0.744246,0.002256,0.039938,0.002726,0.046408,0.004264,0.499686,0.006531,0.033300,0.046185,5976.000000,238.666667
a2_colorjitter,A2 colour jitter,0.40,3,42 43 44,0.691483,0.001061,0.762098,0.006712,0.718954,0.002146,0.031850,0.001844,0.036200,0.002976,0.534833,0.006644,0.026606,0.037316,5976.000000,190.333333
a2_colorjitter,A2 colour jitter,0.45,3,42 43 44,0.671489,0.002206,0.792258,0.010773,0.689969,0.000984,0.024487,0.002438,0.027108,0.002974,0.571870,0.007426,0.019076,0.029786,5976.000000,146.333333
a2_colorjitter,A2 colour jitter,0.50,3,42 43 44,0.650036,0.004289,0.814833,0.009482,0.657289,0.005186,0.019523,0.001866,0.020694,0.002228,0.600902,0.008629,0.015060,0.023929,5976.000000,116.666667
a2_colorjitter,A2 colour jitter,0.55,3,42 43 44,0.619278,0.003897,0.838652,0.005860,0.614095,0.010659,0.013833,0.001443,0.014391,0.001930,0.633874,0.005328,0.010375,0.017738,5976.000000,82.666667
a2_colorjitter,A2 colour jitter,0.60,3,42 43 44,0.579842,0.006996,0.860263,0.009884,0.558966,0.009880,0.009594,0.001866,0.009817,0.002247,0.662571,0.001820,0.006359,0.013722,5976.000000,57.333333
a2_colorjitter,A2 colour jitter,0.65,3,42 43 44,0.531414,0.010846,0.884143,0.007986,0.493606,0.011935,0.005076,0.001300,0.005187,0.001488,0.696745,0.003469,0.002845,0.008032,5976.000000,30.333333
a2_colorjitter,A2 colour jitter,0.70,3,42 43 44,0.456609,0.012418,0.911403,0.006398,0.414606,0.021319,0.001618,0.000193,0.001618,0.000193,0.744900,0.007203,0.000669,0.002845,5976.000000,9.666667
a2_colorjitter,A2 colour jitter,0.75,3,42 43 44,0.356600,0.018920,0.922597,0.005046,0.317420,0.027285,0.000781,0.000097,0.000781,0.000097,0.774062,0.003426,0.000167,0.001506,5976.000000,4.666667
a2_colorjitter,A2 colour jitter,0.80,3,42 43 44,0.243105,0.018110,0.934603,0.008823,0.216255,0.021302,0.000056,0.000096,0.000056,0.000096,0.847559,0.000000,0.000000,0.000502,5976.000000,0.333333
a2_colorjitter,A2 colour jitter,0.85,3,42 43 44,0.111883,0.013071,0.938009,0.011863,0.100597,0.013957,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
a2_colorjitter,A2 colour jitter,0.90,3,42 43 44,0.027296,0.007114,1.000000,0.000000,0.023586,0.005481,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
a2_colorjitter,A2 colour jitter,0.95,3,42 43 44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p4_a4_combined,P4+A4 combined,0.05,3,42 43 44,0.759472,0.007099,0.406534,0.010325,0.852231,0.004375,0.213298,0.019436,0.509650,0.054590,0.198775,0.007412,0.183568,0.234438,5976.000000,1274.666667
p4_a4_combined,P4+A4 combined,0.10,3,42 43 44,0.754088,0.006782,0.494389,0.009834,0.836886,0.006398,0.165328,0.014966,0.309683,0.034540,0.281425,0.009057,0.141566,0.183568,5976.000000,988.000000
p4_a4_combined,P4+A4 combined,0.15,3,42 43 44,0.747048,0.003745,0.553370,0.006613,0.821256,0.001302,0.137494,0.012365,0.220716,0.024495,0.345415,0.010767,0.117303,0.153782,5976.000000,821.666667
p4_a4_combined,P4+A4 combined,0.20,3,42 43 44,0.741953,0.002505,0.599105,0.004965,0.811878,0.000492,0.117024,0.010605,0.171854,0.019335,0.394478,0.010468,0.099565,0.132028,5976.000000,699.333333
p4_a4_combined,P4+A4 combined,0.25,3,42 43 44,0.735622,0.001866,0.636272,0.004854,0.798238,0.004029,0.101963,0.009878,0.138610,0.017931,0.435712,0.008708,0.086011,0.116466,5976.000000,609.333333
p4_a4_combined,P4+A4 combined,0.30,3,42 43 44,0.728671,0.000988,0.668001,0.004814,0.782609,0.005115,0.086903,0.009772,0.113175,0.015641,0.472268,0.009250,0.071285,0.100736,5976.000000,519.333333
p4_a4_combined,P4+A4 combined,0.35,3,42 43 44,0.718399,0.006201,0.698478,0.006686,0.765274,0.009430,0.073907,0.009185,0.092258,0.013947,0.505858,0.008616,0.059404,0.087015,5976.000000,441.666667
